ID;Code;Name;RA;Decl;Epoch;SrcId;nRows
0;NONE;P108;05:35:50.639570;-05:39:45.00000;J2000;0;353600
1;NONE;P90;05:35:34.569790;-05:39:45.00000;J2000;1;332800
2;NONE;P69;05:35:18.500000;-05:39:45.00000;J2000;2;332800
3;NONE;P48;05:35:02.430210;-05:39:45.00000;J2000;3;332800
4;NONE;P27;05:34:46.360430;-05:39:45.00000;J2000;4;332800
5;NONE;P6;05:34:30.290640;-05:39:45.00000;J2000;5;332800
6;NONE;P5;05:34:38.325530;-05:43:14.99999;J2000;6;332800
7;NONE;P26;05:34:54.395320;-05:43:14.99999;J2000;7;332800
8;NONE;P47;05:35:10.465110;-05:43:14.99999;J2000;8;332800
9;NONE;P68;05:35:26.534890;-05:43:14.99999;J2000;9;332800
10;NONE;P89;05:35:42.604680;-05:43:14.99999;J2000;10;332800
11;NONE;P88;05:35:34.569790;-05:46:45.00001;J2000;11;332800
12;NONE;P67;05:35:18.500000;-05:46:45.00001;J2000;12;332800
13;NONE;P46;05:35:02.430210;-05:46:45.00001;J2000;13;322400
14;NONE;P25;05:34:46.360430;-05:46:45.00001;J2000;14;332800
15;NONE;P4;05:34:30.290640;-05:46:45.00001;J2000;15;332800
16;NONE;P3;05:34:38.325530;-05:50:15.00000;J2000;16;332800
17;NONE;P24;05:34:54.395320;-05:50:15.00000;J2000;17;332800
18;NONE;P107;05:35:50.639570;-05:46:45.00001;J2000;18;353600
19;NONE;P87;05:35:42.604680;-05:50:15.00000;J2000;19;332800
20;NONE;P66;05:35:26.534890;-05:50:15.00000;J2000;20;332800
21;NONE;P45;05:35:10.465110;-05:50:15.00000;J2000;21;332800
22;NONE;P65;05:35:18.500000;-05:53:45.00000;J2000;22;332800
23;NONE;P44;05:35:02.430210;-05:53:45.00000;J2000;23;332800
24;NONE;P23;05:34:46.360430;-05:53:45.00000;J2000;24;332800
25;NONE;P2;05:34:30.290640;-05:53:45.00000;J2000;25;332800
26;NONE;P1;05:34:38.325530;-05:57:14.99999;J2000;26;332800
27;NONE;P22;05:34:54.395320;-05:57:14.99999;J2000;27;332800
28;NONE;P43;05:35:10.465110;-05:57:14.99999;J2000;28;332800
29;NONE;P64;05:35:26.534890;-05:57:14.99999;J2000;29;332800
30;NONE;P85;05:35:42.604680;-05:57:14.99999;J2000;30;332800
31;NONE;P86;05:35:34.569790;-05:53:45.00000;J2000;31;332800
32;NONE;P106;05:35:50.639570;-05:53:45.00000;J2000;32;332800
33;NONE;P91;05:35:42.604680;-05:36:15.00001;J2000;33;322400
34;NONE;P70;05:35:26.534890;-05:36:15.00001;J2000;34;332800
35;NONE;P49;05:35:10.465110;-05:36:15.00001;J2000;35;332800
36;NONE;P109;05:35:50.639570;-05:32:44.99999;J2000;36;364000
37;NONE;P92;05:35:34.569790;-05:32:44.99999;J2000;37;332800
38;NONE;P71;05:35:18.500000;-05:32:44.99999;J2000;38;332800
39;NONE;P50;05:35:02.430210;-05:32:44.99999;J2000;39;332800
40;NONE;P29;05:34:46.360430;-05:32:44.99999;J2000;40;332800
41;NONE;P8;05:34:30.290640;-05:32:44.99999;J2000;41;332800
42;NONE;P7;05:34:38.325530;-05:36:15.00001;J2000;42;332800
43;NONE;P28;05:34:54.395320;-05:36:15.00001;J2000;43;332800
44;NONE;P30;05:34:54.395320;-05:29:15.00000;J2000;44;332800
45;NONE;P9;05:34:38.325530;-05:29:15.00000;J2000;45;332800
46;NONE;P31;05:34:46.360430;-05:25:45.00001;J2000;46;332800
47;NONE;P10;05:34:30.290640;-05:25:45.00001;J2000;47;332800
48;NONE;P11;05:34:38.325530;-05:22:14.99999;J2000;48;332800
49;NONE;P32;05:34:54.395320;-05:22:14.99999;J2000;49;332800
50;NONE;P53;05:35:10.465110;-05:22:14.99999;J2000;50;332800
51;NONE;P74;05:35:26.534890;-05:22:14.99999;J2000;51;332800
52;NONE;P95;05:35:42.604680;-05:22:14.99999;J2000;52;332800
53;NONE;P94;05:35:34.569790;-05:25:45.00001;J2000;53;322400
